recording,ambulances
alarm_sound_003.wav,0
babies_crying_015.wav,0
babies_crying_094.wav,0
babies_crying_095.wav,0
babies_crying_155.wav,0
car_horn_026.wav,0
car_horn_128.wav,0
car_horn_143.wav,0
car_horn_150.wav,0
car_horn_156.wav,0
fire_truck_094.wav,0
fire_truck_132.wav,0
fire_truck_141.wav,0
fire_truck_147.wav,0
fire_truck_162.wav,0
fire_truck_165.wav,0
fire_truck_225.wav,0
onstr_comp_2_002.wav,0
onstr_comp_2_007.wav,0
singing_high_pitch_033.wav,0
singing_high_pitch_049.wav,0
singing_high_pitch_106.wav,0
singing_high_pitch_147.wav,0
singing_high_pitch_176.wav,0
sirens_test_01.mp3,1
sirens_test_02.mp3,1
sirens_test_03.mp3,1
sirens_test_04.mp3,1
sirens_test_05.mp3,1
sirens_test_06.mp3,1
sirens_test_07.mp3,0
sirens_test_08.mp3,1
sirens_test_09.mp3,1
sirens_test_10.mp3,1
sirens_test_11.mp3,1
sirens_test_12.mp3,1
sirens_test_13.mp3,1
sirens_test_14.mp3,1
sirens_test_15.mp3,1
sirens_test_16.mp3,1
sirens_test_17.mp3,1
sirens_test_18.mp3,1
sirens_test_19.mp3,1
sirens_test_20.mp3,1
sirens_test_21.mp3,1
sirens_test_22.mp3,0
sirens_test_23.mp3,0
sirens_test_24.mp3,1
sirens_test_25.mp3,1
sirens_test_26.mp3,1
sirens_test_27.mp3,0
sirens_test_28.mp3,1
sirens_test_29.mp3,1
sirens_test_30.mp3,1
sirens_test_31.mp3,1
sirens_test_32.mp3,1
sirens_test_33.mp3,1
sirens_test_34.mp3,1
sirens_test_35.mp3,1
sirens_test_36.mp3,1
sirens_test_37.mp3,1
sirens_test_38.mp3,1
sirens_test_39.mp3,1
sirens_test_40.mp3,1
sirens_test_41.mp3,1
sirens_test_42.mp3,1
sirens_test_43.mp3,1
sirens_test_44.mp3,1
sirens_test_45.mp3,1
sirens_test_46.mp3,1
sirens_test_47.mp3,1
sirens_test_48.mp3,1
sirens_test_49.mp3,1
sirens_test_50.mp3,1
stadium_sound_1_053.wav,0
stadium_sound_1_058.wav,0
stadium_sound_1_099.wav,0
stadium_sound_2_109.wav,0
stadium_sound_2_128.wav,0
stadium_sound_2_146.wav,0
stadium_sound_2_243.wav,0
stadium_sound_2_271.wav,0
stadium_sound_2_276.wav,0
stadium_sound_2_298.wav,0
stadium_sound_2_378.wav,0
stadium_sound_2_383.wav,0
stadium_sound_2_396.wav,0
stadium_sound_2_404.wav,0
stadium_sound_2_462.wav,0
stadium_sound_2_466.wav,0
stadium_sound_2_571.wav,0
stadium_sound_2_574.wav,0
stadium_sound_2_620.wav,0
train_sound_1_026.wav,0
train_sound_1_101.wav,0
train_sound_1_122.wav,0
train_sound_1_154.wav,0
train_sound_1_223.wav,0
unheard_068.wav,0
wind_013.wav,0
